Name,Location,Website,School Type,Largest Program
Barnard College,"3009 Broadway, New York, New York 10027-6598",www.barnard.edu/,"4-year, Private not-for-profit",-
Be'er Yaakov Talmudic Seminary,"12 Truman Avenue, Spring Valley, New York 10977",www.byts.edu/,"4-year, Private not-for-profit",-
Beis Medrash Heichal Dovid,"211 Beach Seventeenth Street, Far Rockaway, New York 11691-4433",www.heichaldovid.org/,"4-year, Private not-for-profit",-
Belanger School of Nursing,"650 McClellan St, Schenectady, New York 12304",www.ellismedicine.org/school-of-nursing/,"2-year, Private not-for-profit",-
Berk Trade and Business School,"33-09 Queens Boulevard, Long Island City, New York 11101-8120",www.berktradeschool.com/,"< 2-year, Private for-profit","Electrical and Power Transmission Installation/Installer, General"
Berkeley College-New York,"3 East 43 Street, New York, New York 10017",https://berkeleycollege.edu/,"4-year, Private for-profit",-
Berkowits School of Electrolysis,"107-25 Metropolitan Avenue, Forest Hills, New York 11375-6820",estheticsschoolny.com/,"< 2-year, Private for-profit",Electrolysis/Electrology and Electrolysis Technician
Bet Medrash Gadol Ateret Torah,"1750 East Fourth Street, Brooklyn, New York 11223-1933",betmedrashgadolaterettorah.com/,"4-year, Private not-for-profit",-
Beth Hamedrash Shaarei Yosher Institute,"4102 16th Ave, Brooklyn, New York 11204",bhsy.edu/,"4-year, primarily associate's, Private not-for-profit",-
Beth Medrash Meor Yitzchok,"85 Dykstras Way East, Monsey, New York 10952-4023",https://bethmedrashmeoryitzchok.com/,"4-year, primarily associate's, Private not-for-profit",-
Binghamton University,"4400 Vestal Parkway East, Vestal, New York 13850-6000",www.binghamton.edu/,"4-year, Public",-
Bnos Zion Of Bobov Seminary,"5000 14th Avenue, Brooklyn, New York 11219-3621",https://www.bnoszionbobov.com/,"2-year, Private not-for-profit",-
Boricua College,"3755 Broadway, New York, New York 10032-1560",https://www.boricuacollege.edu/,"4-year, Private not-for-profit",-
Brittany Beauty Academy,"210 East 188th St, Bronx, New York 10458",https://brittanyacademy.edu/,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
